name best_fitness global_best_fitness similarity datatime
initialization 3.994675288998402 3.994675288998402 0000 09-28-2022-16-54-39
global_0 3.994675288998402 3.994675288998402 505.23481152513847 09-28-2022-16-56-31
global_1 3.994675288998402 3.994675288998402 505.23481152513847 09-28-2022-17-02-03
global_2 3.994675288998402 3.994675288998402 505.23481152513847 09-28-2022-17-02-03
global_3 3.994675288998402 3.994675288998402 505.23481152513847 09-28-2022-17-07-48
global_4 4.841793096615949 4.841793096615949 480.7011990513176 09-28-2022-17-15-25
global_4_local_0 4.304632777692899 101.20482579302345 62.99185278577086 09-28-2022-17-30-38
global_4_local_1 4.834786987338031 101.20482579302345 62.99185278577086 09-28-2022-17-36-16
global_4_local_2 5.096032761762359 101.20482579302345 41.99456852384724 09-28-2022-17-43-51
global_4_local_3 5.035108885948818 101.20482579302345 31.931073286028752 09-28-2022-17-51-41
global_4_local_4 5.035108885948818 101.20482579302345 25.631888007451664 09-28-2022-17-51-41
global_5 5.35934006168315 5.35934006168315 424.00113918873456 09-28-2022-17-57-31
global_5_local_0 6.258955658434218 6.258955658434218 153.36631784306257 09-28-2022-18-10-49
global_5_local_1 5.028791885392672 6.258955658434218 80.19896232796609 09-28-2022-18-16-26
global_5_local_2 7.257208926806274 7.257208926806274 77.83160452713356 09-28-2022-18-20-11
global_5_local_3 7.257208926806274 7.257208926806274 64.74870339535016 09-28-2022-18-22-05
global_5_local_4 5.028791885392672 7.257208926806274 57.084513817379275 09-28-2022-18-27-43
global_6 6.333680619739418 6.333680619739418 369.4069529053708 09-28-2022-18-35-09
global_6_local_0 100.27727751548213 100.53510631243947 28.056436526973883 09-28-2022-18-46-25
global_6_local_1 6.692818774882995 100.53510631243947 113.05643652697387 09-28-2022-18-53-58
global_6_local_2 6.692818774882995 100.53510631243947 147.18238044943357 09-28-2022-18-57-43
global_6_local_3 5.725126134196727 100.53510631243947 130.04230902533635 09-28-2022-19-01-28
global_6_local_4 5.725126134196727 100.53510631243947 122.9340488953369 09-28-2022-19-07-06
global_7 6.333680619739418 6.333680619739418 328.461313192848 09-28-2022-19-10-48
global_8 6.477762130942624 6.477762130942624 318.33085557542086 09-28-2022-19-18-21
global_8_local_0 4.453612258707433 7.199749651811346 170.0 09-28-2022-19-29-51
global_8_local_1 100.36633070148841 100.36633070148841 85.0 09-28-2022-19-33-38
