name best_fitness global_best_fitness similarity datatime
initialization 105.39397115666411 105.39397115666411 0000 09-26-2022-22-46-17
global_0 105.7009598965141 105.7009598965141 450.04118675301504 09-26-2022-22-53-22
global_1 110.43369432411777 110.43369432411777 395.78324106461616 09-26-2022-22-56-53
global_2 110.43369432411777 110.43369432411777 238.05275311046842 09-26-2022-23-00-24
global_3 110.43369432411777 110.43369432411777 175.66627409172995 09-26-2022-23-02-08
global_4 110.43369432411777 110.43369432411777 174.66870761799458 09-26-2022-23-03-57
global_5_restart 4.840997020018091 110.43369432411777 174.66870761799458 09-26-2022-23-11-10
global_5 4.840997020018091 110.43369432411777 1312.103997901847 09-26-2022-23-11-10
global_6 4.840997020018091 110.43369432411777 1197.8462225384842 09-26-2022-23-21-46
global_7 4.840997020018091 110.43369432411777 1076.3603260879802 09-26-2022-23-25-19
global_8 101.14778565995167 110.43369432411777 999.9586178409452 09-26-2022-23-30-39
global_8_local_0 106.83085615394045 107.36481201036389 10.096638689260526 09-26-2022-23-42-59
global_8_local_1 106.83085615394045 107.36481201036389 10.205883195542144 09-26-2022-23-44-45
global_8_local_2 105.612153947269 107.36481201036389 9.034046332450249 09-26-2022-23-51-46
global_8_local_3 106.26782668970922 107.36481201036389 8.200324010617404 09-26-2022-23-55-23
global_8_local_4 105.45910164257168 107.36481201036389 55.52766771713391 09-27-2022-00-00-39
global_9 101.14778565995167 110.43369432411777 889.1147809226768 09-27-2022-00-02-23
global_10 101.14246358351073 110.43369432411777 809.7299650564333 09-27-2022-00-07-45
global_11 101.22885965000135 110.43369432411777 742.207865500222 09-27-2022-00-14-45
global_11_local_0 106.3980295504629 106.3980295504629 11.873137412007027 09-27-2022-00-25-18
global_11_local_1 110.45276071732881 110.45276071732881 3.9577124706690094 09-27-2022-00-28-48
global_11_local_2 102.67251034617708 110.45276071732881 145.45464515332068 09-27-2022-00-35-54
global_11_local_3 102.67251034617708 110.45276071732881 110.9765856050452 09-27-2022-00-41-10
global_11_local_4 106.48778950462815 110.45276071732881 66.97102429296636 09-27-2022-00-48-15
global_12 101.07656475170613 110.43369432411777 723.1813905645419 09-27-2022-00-53-33
global_13_restart 100.298503012113 110.43369432411777 723.1813905645419 09-27-2022-00-58-54
global_13 100.298503012113 110.43369432411777 1495.2562797906187 09-27-2022-00-58-54
global_14 5.505564886005045 110.43369432411777 1500.7628232308439 09-27-2022-01-13-00
global_15 5.505564886005045 110.43369432411777 1479.906586821252 09-27-2022-01-13-00
global_16 5.505564886005045 110.43369432411777 1456.591689224531 09-27-2022-01-16-29
global_17 5.25721734838099 110.43369432411777 1378.8016566807783 09-27-2022-01-21-49
global_18_restart 4.389333317428163 110.43369432411777 1378.8016566807783 09-27-2022-01-25-19
global_18 4.389333317428163 110.43369432411777 1436.042466323945 09-27-2022-01-25-19
global_19 100.58809891202513 110.43369432411777 1392.7777376037852 09-27-2022-01-39-28
global_20 103.38458637737843 110.43369432411777 1322.1393568354601 09-27-2022-01-46-32
global_21 100.62528269736106 110.43369432411777 1260.7960420175489 09-27-2022-01-51-53
global_22 101.87917310996993 110.43369432411777 1200.604100611409 09-27-2022-01-57-12
global_23 101.87917310996993 110.43369432411777 1148.0920837041904 09-27-2022-01-58-55
global_24 101.87917310996993 110.43369432411777 1107.8781447689696 09-27-2022-02-02-32
global_25_restart 12.526036906261465 110.43369432411777 1107.8781447689696 09-27-2022-02-04-18
global_25 12.526036906261465 110.43369432411777 1485.6213227670175 09-27-2022-02-04-18
global_26 7.340213386207975 110.43369432411777 1426.5305121558347 09-27-2022-02-16-47
global_27 7.340213386207975 110.43369432411777 1364.969738974269 09-27-2022-02-20-21
global_28 6.681070153481596 110.43369432411777 1318.567890120819 09-27-2022-02-27-32
global_29 6.681070153481596 110.43369432411777 1274.6226454928087 09-27-2022-02-27-33
global_30_restart 104.3351155572135 110.43369432411777 1274.6226454928087 09-27-2022-02-32-51
global_30 104.3351155572135 110.43369432411777 1446.4347050245087 09-27-2022-02-32-51
global_31 104.3351155572135 110.43369432411777 1401.985489905344 09-27-2022-02-39-56
global_32 104.3351155572135 110.43369432411777 1359.5010811203335 09-27-2022-02-45-16
global_33 104.3351155572135 110.43369432411777 1319.5157552050296 09-27-2022-02-50-40
global_34 104.3351155572135 110.43369432411777 1281.8153050563144 09-27-2022-02-53-30
global_35 104.3351155572135 110.43369432411777 1246.2093243603058 09-27-2022-02-58-52
global_36_restart 6.028605824087782 110.43369432411777 1246.2093243603058 09-27-2022-03-02-25
global_36 6.028605824087782 110.43369432411777 1560.3052197598552 09-27-2022-03-02-25
global_37 103.47697312943015 110.43369432411777 1461.7676056337318 09-27-2022-03-15-00
global_38 103.47697312943015 110.43369432411777 1424.2863849764567 09-27-2022-03-16-47
global_39 103.47697312943015 110.43369432411777 1388.6792253520453 09-27-2022-03-22-01
global_40 103.47697312943015 110.43369432411777 1354.8090003434588 09-27-2022-03-25-32
global_41_restart 5.941551458447133 110.43369432411777 1354.8090003434588 09-27-2022-03-30-54
global_41 5.941551458447133 110.43369432411777 1446.510138616431 09-27-2022-03-30-54
global_42 4.852514969015271 110.43369432411777 1340.446148812924 09-27-2022-03-45-09
global_43 4.852514969015271 110.43369432411777 1312.1662918010106 09-27-2022-03-50-31
global_44 6.516156765393631 110.43369432411777 1296.242296164676 09-27-2022-03-54-06
global_44_local_0 109.76796419416183 109.76796419416183 87.29824352164758 09-27-2022-04-06-44
global_44_local_1 106.39593587049707 109.76796419416183 72.41653882486867 09-27-2022-04-14-00
global_44_local_2 105.50364408113072 109.76796419416183 39.342183429705436 09-27-2022-04-21-09
global_44_local_3 105.8563627218372 109.76796419416183 58.15965015322038 09-27-2022-04-30-24
global_44_local_4 106.52407335675879 109.76796419416183 83.65678646937096 09-27-2022-04-37-36
global_45 4.852514969015271 110.43369432411777 1258.6618993343634 09-27-2022-04-41-09
global_46_restart 5.247018155294016 110.43369432411777 1258.6618993343634 09-27-2022-04-44-43
global_46 5.247018155294016 110.43369432411777 1521.7840303672738 09-27-2022-04-44-43
global_47 5.175007634451621 110.43369432411777 1559.4266724860486 09-27-2022-04-57-19
global_48 5.298284366829478 110.43369432411777 1460.259311914655 09-27-2022-05-04-29
global_49 5.246668262717835 110.43369432411777 1423.8987235853397 09-27-2022-05-08-03
global_50 5.196496274550876 110.43369432411777 1415.4320828764044 09-27-2022-05-15-17
global_51_restart 4.020138645118216 110.43369432411777 1415.4320828764044 09-27-2022-05-20-38
global_51 4.020138645118216 110.43369432411777 1562.4877597840627 09-27-2022-05-20-38
global_52 4.035936583406285 110.43369432411777 1512.9184155407418 09-27-2022-05-31-21
global_53 4.035936583406285 110.43369432411777 1515.8339178585534 09-27-2022-05-33-10
global_54 4.3201602720617 110.43369432411777 1512.0868301340715 09-27-2022-05-36-44
global_54_local_0 106.39597195694031 106.39597195694031 58.628853511204255 09-27-2022-05-51-18
global_54_local_1 106.17982561933395 106.39597195694031 59.190768793323244 09-27-2022-05-58-31
global_54_local_2 105.794595601009 106.39597195694031 83.42392063951515 09-27-2022-06-02-07
global_54_local_3 105.794595601009 106.39597195694031 104.91827785642985 09-27-2022-06-03-55
global_54_local_4 105.80206065500708 106.39597195694031 131.7127718909253 09-27-2022-06-09-22
global_55 4.3201602720617 110.43369432411777 1485.1232602994532 09-27-2022-06-11-09
global_56 4.3201602720617 110.43369432411777 1459.0851298767284 09-27-2022-06-13-01
global_57 100.487714587233 110.43369432411777 1433.88790028605 09-27-2022-06-16-38
global_57_local_0 106.04613662739705 106.04613662739705 23.387919037692892 09-27-2022-06-29-13
